district,racetype,incumbent,incumbent_party,incumbent_retiring,hete_democrat,hete_republican,democrat_1,democrat_1_probability,democrat_2,democrat_2_probability,democrat_3,democrat_3_probability,democrat_4,democrat_4_probability,democrat_5,democrat_5_probability,democrat_6,democrat_6_probability,republican_1,republican_1_probability,republican_2,republican_2_probability,republican_3,republican_3_probability,republican_4,republican_4_probability,republican_5,republican_5_probability,republican_6,republican_6_probability,independent_1,independent_2,independent_3,independent_4
AK_001,house,,,,Democrat Al Gross,Republican Sarah Palin,A Democratic Candidate,0.2,Democrat Chris Constant,0.2,Democrat Al Gross,0.6,,,,,,,A Republican Candidate,0.1,Republican Nick Begich III,0.2,Republican Josh Revak,0.2,Republican Sarah Palin,0.5,,,,,,,,
AL_001,house,Republican Jerry Carl,R,,Democrat James Averhart,Republican Jerry Carl,A Democratic Candidate,1,Democrat James Averhart,0,,,,,,,,,A Republican Candidate,0,Republican Jerry Carl,1,,,,,,,,,,,,
AL_002,house,Republican Barry Moore,R,,Democrat Phyllis Harvey-Hall,Republican Barry Moore,A Democratic Candidate,0,Democrat Phyllis Harvey-Hall,1,,,,,,,,,A Republican Candidate,0,Republican Barry Moore,1,,,,,,,,,,,,
AL_003,house,Republican Mike Rogers,R,,Democrat Lin Veasey,Republican Mike Rogers,A Democratic Candidate,0,Democrat Lin Veasey,1,,,,,,,,,A Republican Candidate,0,Republican Mike Rogers,1,,,,,,,,,,,,
AL_004,house,Republican Robert Aderholt,R,,Democrat Ricky Neighbors,Republican Robert Aderholt,A Democratic Candidate,0,Democrat Ricky Neighbors,1,,,,,,,,,A Republican Candidate,0,Republican Robert Aderholt,1,,,,,,,,,,,,
AL_005,house,Republican Mo Brooks,R,1,Democrat Kathy Warner-Stanton,Republican Dale Strong,A Democratic Candidate,0,Democrat Kathy Warner-Stanton,1,,,,,,,,,A Republican Candidate,0,Republican Dale Strong,1,,,,,,,,,,,,
AL_006,house,Republican Gary Palmer,R,,Democrat Danner Kline,Republican Gary Palmer,A Democratic Candidate,1,Democrat Danner Kline,0,,,,,,,,,A Republican Candidate,0,Republican Gary Palmer,1,,,,,,,,,,,,
AL_007,house,Democrat Terri Sewell,D,,Democrat Terri Sewell,Republican Beatrice Nichols,A Democratic Candidate,0,Democrat Terri Sewell,1,,,,,,,,,A Republican Candidate,0,Republican Beatrice Nichols,1,,,,,,,,,,,,
AR_001,house,Republican Rick Crawford,R,,Democrat Monte Hodges,Republican Rick Crawford,A Democratic Candidate,0,Democrat Monte Hodges,1,,,,,,,,,A Republican Candidate,0,Republican Rick Crawford,1,,,,,,,,,,,,
AR_002,house,Republican J. Hill,R,,Democrat Quintessa Hathaway,Republican J. Hill,A Democratic Candidate,0,Democrat Quintessa Hathaway,1,,,,,,,,,A Republican Candidate,0,Republican J. Hill,1,,,,,,,,,,,,
AR_003,house,Republican Steve Womack,R,,Democrat Lauren Hays,Republican Steve Womack,A Democratic Candidate,0,Democrat Lauren Hays,1,,,,,,,,,A Republican Candidate,0,Republican Steve Womack,1,,,,,,,,,,,,
AR_004,house,Republican Bruce Westerman,R,,Democrat John White,Republican Bruce Westerman,A Democratic Candidate,0,Democrat John White,1,,,,,,,,,A Republican Candidate,0,Republican Bruce Westerman,1,,,,,,,,,,,,
AZ_001,house,Republican David Schweikert,R,,Democrat Jevin Hodge,Republican David Schweikert,A Democratic Candidate,0,Democrat Jevin Hodge,1,,,,,,,,,A Republican Candidate,0,Republican David Schweikert,1,,,,,,,,,,,,
AZ_002,house,Democrat Tom O’Halleran,D,1,Democrat Tom O'Halleran,Republican Eli Crane,A Democratic Candidate,0,Democrat Tom O'Halleran,1,,,,,,,,,A Republican Candidate,0,Republican Eli Crane,1,,,,,,,,,,,,
AZ_003,house,Democrat Ruben Gallego,D,,Democrat Ruben Gallego,Republican Jeff Zink,A Democratic Candidate,0,Democrat Ruben Gallego,1,,,,,,,,,A Republican Candidate,0,Republican Jeff Zink,1,,,,,,,,,,,,
AZ_004,house,Democrat Greg Stanton,D,,Democrat Greg Stanton,Republican Kelly Cooper,A Democratic Candidate,0,Democrat Greg Stanton,1,,,,,,,,,A Republican Candidate,0,Republican Kelly Cooper,1,,,,,,,,,,,,
AZ_005,house,Republican Andy Biggs,R,,Democrat Javier Ramos,Republican Andy Biggs,A Democratic Candidate,0,Democrat Javier Ramos,1,,,,,,,,,A Republican Candidate,0,Republican Andy Biggs,1,,,,,,,,,,,,
AZ_006,house,Democrat Ann Kirkpatrick,D,1,Democrat Kirsten Engel,Republican Juan Ciscomani,A Democratic Candidate,0,Democrat Kirsten Engel,1,,,,,,,,,A Republican Candidate,0,Republican Juan Ciscomani,1,,,,,,,,,,,,
AZ_007,house,Democrat Raúl Grijalva,D,,Democrat Raúl Grijalva,Republican Luis Pozzolo,A Democratic Candidate,0,Democrat Raúl Grijalva,1,,,,,,,,,A Republican Candidate,0,Republican Luis Pozzolo,1,,,,,,,,,,,,
AZ_008,house,Republican Debbie Lesko,R,,Democrat Michael Muscato,Republican Debbie Lesko,A Democratic Candidate,1,Democrat Michael Muscato,0,,,,,,,,,A Republican Candidate,0,Republican Debbie Lesko,1,,,,,,,,,,,,
AZ_009,house,Republican Paul Gosar,R,,Democrat Judith Stahl,Republican Paul Gosar,A Democratic Candidate,1,Democrat Judith Stahl,0,,,,,,,,,A Republican Candidate,0,Republican Paul Gosar,1,,,,,,,,,,,,
CA_001,house,Republican Doug LaMalfa,R,,Democrat Max Steiner,Republican Doug LaMalfa,A Democratic Candidate,0,Democrat Max Steiner,1,,,,,,,,,A Republican Candidate,0,Republican Doug LaMalfa,1,,,,,,,,,,,,
CA_002,house,Democrat Jared Huffman,D,,Democrat Jared Huffman,Republican Douglas Brower,A Democratic Candidate,0,Democrat Jared Huffman,1,,,,,,,,,A Republican Candidate,0,Republican Douglas Brower,0.6,Republican Chris Coulombe,0.4,,,,,,,,,,
CA_003,house,Republican Devin Nunes,R,1,Democrat Kermit Jones,Republican Kevin Kiley,A Democratic Candidate,0,Democrat Kermit Jones,1,,,,,,,,,A Republican Candidate,0,Republican Kevin Kiley,1,,,,,,,,,,,,
CA_004,house,Democrat Mike Thompson,D,,Democrat Mike Thompson,Republican Matt Brock,A Democratic Candidate,0,Democrat Mike Thompson,1,,,,,,,,,A Republican Candidate,0,Republican Matt Brock,1,,,,,,,,,,,,
CA_005,house,Republican Tom McClintock,R,,Democrat Michael Barkley,Republican Tom McClintock,A Democratic Candidate,0,Democrat Michael Barkley,1,,,,,,,,,A Republican Candidate,0,Republican Tom McClintock,1,,,,,,,,,,,,
CA_006,house,Democrat Ami Bera,D,,Democrat Ami Bera,Republican Tamika Hamilton,A Democratic Candidate,0,Democrat Ami Bera,1,,,,,,,,,A Republican Candidate,0,Republican Tamika Hamilton,1,,,,,,,,,,,,
CA_007,house,Democrat Doris Matsui,D,,Democrat Doris Matsui,Republican Max Semenenko,A Democratic Candidate,0,Democrat Doris Matsui,1,,,,,,,,,A Republican Candidate,0,Republican Max Semenenko,1,,,,,,,,,,,,
CA_008,house,Democrat John Garamendi,D,,Democrat John Garamendi,Republican Rudy Recile,A Democratic Candidate,0,Democrat John Garamendi,1,,,,,,,,,A Republican Candidate,0,Republican Rudy Recile,1,,,,,,,,,,,,
CA_009,house,Democrat Jerry McNerney,D,1,Democrat Josh Harder,Republican Tom Patti,A Democratic Candidate,0,Democrat Josh Harder,1,,,,,,,,,A Republican Candidate,0,Republican Tom Patti,1,,,,,,,,,,,,
CA_010,house,Democrat Mark DeSaulnier,D,,Democrat Mark DeSaulnier,Republican Ricky Gill,A Democratic Candidate,0,Democrat Mark DeSaulnier,1,,,,,,,,,A Republican Candidate,1,Republican Ricky Gill,0,,,,,,,,,Green Party Candidate Michael Kerr,,,
CA_011,house,Democrat Nancy Pelosi,D,,Democrat Nancy Pelosi,Republican John Dennis,A Democratic Candidate,0,Democrat Nancy Pelosi,1,,,,,,,,,A Republican Candidate,0,Republican John Dennis,1,,,,,,,,,,,,
